DevelopmentalStage,Dataset,Correlation
early_devo,Bhaduri_H1S_10w,0.23028758219413076
early_devo,Bhaduri_H1S_10w,0.23028758219413076
early_devo,Bhaduri_H1S_8w,0.21846922148031467
early_devo,Bhaduri_H1X_8w,0.17771938290933964
early_devo,Bhaduri_H1S_5w,0.022761396114085546
early_devo,Bhaduri_H1X_5w,-0.09456271140129664
early_devo,Giandomenico_10w,0.3393788344191406
early_devo,Madhavan_12w,0.20327482014351758
early_devo,Popova_batch2_7w,0.2064055836513663
early_devo,Trujillo_12w,0.208238510831471
early_devo,Trujillo_24w,0.31301271820822557
early_devo,Trujillo_40w,0.29116337849652296
early_devo,Velasco_12w,0.3364907964085221
early_devo,Velasco_24w,0.3238564296689826
early_devo,Xiang_10w,0.2717520611047761
early_devo,Xiang_11w,0.2942580832934459
early_devo,Xiangb1_4w,0.23573154439876348
early_devo,Xiangb2_4w,0.14410790152629313
