DevelopmentalStage,Dataset,Correlation
early_devo,Bhaduri_H1S_10w,0.10787685131634818
early_devo,Bhaduri_H1S_10w,0.10787685131634818
early_devo,Bhaduri_H1S_8w,-0.07846360820095316
early_devo,Bhaduri_H1X_8w,0.05719381385002259
early_devo,Bhaduri_H1S_5w,0.111938945169783
early_devo,Bhaduri_H1X_5w,0.15508121366006536
early_devo,Giandomenico_10w,0.19833084312412774
early_devo,Madhavan_12w,0.11813820274795975
early_devo,Trujillo_12w,0.0908114726469388
early_devo,Trujillo_24w,0.08077762508646744
early_devo,Velasco_12w,0.1952645185963339
early_devo,Xiang_10w,-0.00966853110495397
early_devo,Xiang_11w,0.043799126614547615
early_devo,Xiangb1_4w,0.11229379798889677
early_devo,Xiangb2_4w,0.18996579629373167
