DevelopmentalStage,Dataset,Correlation
late_devo,Bhaduri_H1S_10w,0.042670071834130976
late_devo,Bhaduri_H1S_10w,0.042670071834130976
late_devo,Bhaduri_H1S_8w,0.011877077488432131
late_devo,Bhaduri_H1X_8w,-0.07481875274211688
late_devo,Bhaduri_H1S_5w,0.11339325139358214
late_devo,Bhaduri_H1X_5w,0.03739360899220701
late_devo,Trujillo_12w,0.049607769867091915
late_devo,Xiang_10w,0.06871889195597547
late_devo,Xiang_11w,0.04146017703735221
late_devo,Xiangb1_4w,0.0777499287729393
late_devo,Xiangb2_4w,0.07293538674652107
