DevelopmentalStage,Dataset,Correlation
late_devo,Bhaduri_H1S_10w,0.054046926590425995
late_devo,Bhaduri_H1S_10w,0.054046926590425995
late_devo,Bhaduri_H1S_8w,0.01098531209208119
late_devo,Bhaduri_H1X_8w,0.025754671410851984
late_devo,Bhaduri_H1S_5w,-0.003835487655031722
late_devo,Bhaduri_H1X_5w,-0.031212818340882915
late_devo,Giandomenico_10w,0.0856912467765459
late_devo,Madhavan_12w,0.07747676518762393
late_devo,Popova_batch2_7w,0.031081946115429606
late_devo,Trujillo_12w,0.04494709096734405
late_devo,Trujillo_24w,0.0870927053892919
late_devo,Trujillo_40w,0.07553960961344576
late_devo,Velasco_12w,0.10494227946684101
late_devo,Velasco_24w,0.0998721384798424
late_devo,Xiang_10w,0.07577534641086765
late_devo,Xiang_11w,0.09118398154232453
late_devo,Xiangb1_4w,0.045230250256506926
late_devo,Xiangb2_4w,0.04964623783721681
