DevelopmentalStage,Dataset,Correlation
late_devo,Bhaduri_H1S_10w,0.05323682886030887
late_devo,Bhaduri_H1S_10w,0.05323682886030887
late_devo,Giandomenico_10w,0.13670055059704256
late_devo,Madhavan_12w,0.16226687491516045
late_devo,Popova_batch2_7w,0.06472667973797751
late_devo,Trujillo_12w,0.05628432575722951
late_devo,Trujillo_24w,0.12425206022202459
late_devo,Trujillo_40w,0.14732958059594922
late_devo,Velasco_12w,0.21889368019672964
late_devo,Velasco_24w,0.19361514696581586
late_devo,Xiang_10w,0.1236247334730805
late_devo,Xiang_11w,0.13887121363498892
late_devo,Xiangb1_4w,-0.08945465562172494
