DevelopmentalStage,Dataset,Correlation
mid_devo,Bhaduri_H1S_10w,0.4802857167245475
mid_devo,Bhaduri_H1S_10w,0.4802857167245475
mid_devo,Bhaduri_H1S_8w,0.3862789387278709
mid_devo,Bhaduri_H1X_8w,0.2518604074516194
mid_devo,Bhaduri_H1S_5w,0.13121375784207762
mid_devo,Bhaduri_H1X_5w,-0.04682642419411239
mid_devo,Giandomenico_10w,0.4694003914746753
mid_devo,Madhavan_12w,0.23610015903806805
mid_devo,Popova_batch2_7w,0.36884239099825467
mid_devo,Trujillo_12w,0.439919994158797
mid_devo,Trujillo_24w,0.4755582096562495
mid_devo,Trujillo_40w,0.41486098936054716
mid_devo,Velasco_12w,0.5213183104856144
mid_devo,Velasco_24w,0.43020329146532804
mid_devo,Xiang_10w,0.36129850491335763
mid_devo,Xiang_11w,0.3705745503115523
mid_devo,Xiangb1_4w,0.33743154527826136
mid_devo,Xiangb2_4w,0.11672344282346295
