,CellType,Count,Group
0,CPNs,4949,3months
1,Immature CPNs,3308,3months
2,CFuPNs,2912,3months
3,Immature PNs,1598,3months
4,IPCs/Immature PNs,1403,3months
5,Immature CFuPNs,1199,3months
6,oRG,1056,3months
7,RG,686,3months
8,Cycling,663,3months
0,oRG,5733,6months
1,Astroglia,3438,6months
2,Immature CPNs,2682,6months
3,Immature Interneurons,2261,6months
4,Cycling,1750,6months
5,CPNs,1462,6months
6,Immature PNs,1362,6months
7,Ventral Precursors,1329,6months
8,Unknown,608,6months
9,RG,418,6months
10,IPCs,170,6months
