,CellType,Count,Group,Proportion,Percentage
9,oRG,5733,6months,0.27025880356385235,28
10,Astroglia,3438,6months,0.16207042851081885,17
11,Immature CPNs,2682,6months,0.12643190496393722,13
12,Immature Interneurons,2261,6months,0.1065855843115071,11
13,Cycling,1750,6months,0.08249658228444821,9
14,CPNs,1462,6months,0.06892000188563617,7
15,Immature PNs,1362,6months,0.06420591146938198,7
16,Ventral Precursors,1329,6months,0.0626502616320181,7
17,Unknown,608,6months,0.028661669730825436,3
18,RG,418,6months,0.019704897939942487,2
19,IPCs,170,6months,0.008013953707632112,1
