,CellType,Count,Group,Proportion,Percentage
0,ExN,9995,17-18 GW,0.294178243465976,30.0
1,ExM,9822,17-18 GW,0.2890864139392512,29.0
2,IP,2150,17-18 GW,0.063279962326348,7.0
3,ExDp1,2039,17-18 GW,0.0600129503178714,7.0
4,ExM-U,1756,17-18 GW,0.051683541323287,6.0
5,InMGE,1705,17-18 GW,0.0501824817518248,6.0
6,InCGE,1434,17-18 GW,0.0422062632446432,5.0
7,oRG,1293,17-18 GW,0.0380562750176595,4.0
8,PgS,1232,17-18 GW,0.0362608900400282,4.0
9,vRG,984,17-18 GW,0.0289616199670355,3.0
10,PgG2M,695,17-18 GW,0.0204556157287497,3.0
11,OPC,306,17-18 GW,0.0090063574287732,1.0
12,End,237,17-18 GW,0.0069755121262067,1.0
13,ExDp2,166,17-18 GW,0.0048858017424064,1.0
14,Per,114,17-18 GW,0.0033553096303272,1.0
15,Mic,48,17-18 GW,0.0014127619496114,1.0
16,CPNs,4949,3months,0.2784404185889501,28.0
17,Immature CPNs,3308,3months,0.1861145493417351,19.0
18,CFuPNs,2912,3months,0.1638348148981658,17.0
19,Immature PNs,1598,3months,0.0899066051535951,9.0
20,IPCs/Immature PNs,1403,3months,0.0789355237988072,8.0
21,Immature CFuPNs,1199,3months,0.0674580848430291,7.0
22,oRG,1056,3months,0.0594126251828513,6.0
23,RG,686,3months,0.0385957015865871,4.0
24,Cycling,663,3months,0.0373016766062788,4.0
25,oRG,5733,6months,0.2702588035638523,28.0
26,Astroglia,3438,6months,0.1620704285108188,17.0
27,Immature CPNs,2682,6months,0.1264319049639372,13.0
28,Immature Interneurons,2261,6months,0.1065855843115071,11.0
29,Cycling,1750,6months,0.0824965822844482,9.0
30,CPNs,1462,6months,0.0689200018856361,7.0
31,Immature PNs,1362,6months,0.0642059114693819,7.0
32,Ventral Precursors,1329,6months,0.0626502616320181,7.0
33,Unknown,608,6months,0.0286616697308254,3.0
34,RG,418,6months,0.0197048979399424,2.0
35,IPCs,170,6months,0.0080139537076321,1.0
